"","teams_d","ScoreDiff","RoundPoints","LevRoundPts","favWin","score_dxLRPts","score_dxRPts","seed_d","ws.40_d","aBPM_d","TS_d","TOV_d","StlBlk_d","OR_d","PER_d","depth_d"
"183","providence richmond 2022",28,2,1.5,1,42,56,NA,0.218787122950108,1.15458518925724,-4.95803820094313,-1.06338750992627,-1.05029181666378,0.130376345674269,-0.0433388025550732,-1
"184","wisconsin iowa-state 2022",-5,2,1.5,0,-7.5,-10,NA,0.659337108525552,1.50704867158342,-4.78992782544385,3.3038482952466,-3.20775060873295,0.000893809139634705,0.329695782047055,-2
"185","auburn miami-fl 2022",-18,2,1.5,0,-27,-36,NA,1.37484829784383,2.75247073298969,-5.19212222591143,-0.565273022849659,4.88211619502194,0.125152789619091,-0.0441731371849592,1
"186","kansas providence 2022",5,4,1.75,1,8.75,20,NA,1.19330764373539,2.79294051591266,-4.8804582916557,-0.356622314608148,0.956497913239424,0.0417486724623069,0.201668385234035,1
"187","miami-fl iowa-state 2022",14,4,1.75,1,24.5,56,NA,0.118744148312386,-0.487066751662001,-4.75302481913371,2.49677552457335,0.00115139629421712,-0.0655717465761828,0.437872016445769,-1
"188","kansas miami-fl 2022",26,8,1.875,1,48.75,208,NA,1.36522268069041,3.34578189453818,-5.16472742409088,-1.28653069619806,-1.83419876406945,0.158719272167556,-0.0260798970262631,1
"189","arizona texas-christian 2022",5,2,1.5,1,7.5,10,NA,2.80046776247912,3.07110084532547,-4.6445352404551,0.841424614353855,1.15394918227099,0.00197630382344709,0.461593011288487,-1
"190","illinois houston 2022",-15,2,1.5,0,-22.5,-30,NA,-2.03553878763182,-1.44485704594188,-4.98765888986046,-0.342070725261186,-7.38302241072419,-0.216140651265064,-0.206272280259144,-1
"191","tennessee michigan 2022",-8,2,1.5,0,-12,-16,NA,1.57412944219902,2.19245543725256,-5.05088838889601,0.0233730780951991,5.21191390627468,-0.0323554749734649,0.00480614211976622,0
"192","villanova ohio-state 2022",10,2,1.5,1,15,20,NA,1.36173703277948,2.08911649526402,-5.25468769386241,0.958662153370233,-0.424274890797024,-0.0102902701420641,0.0858548931534173,-2
"193","arizona houston 2022",-12,4,1.75,0,-21,-48,NA,-0.15505022799855,0.335972019927588,-4.9543458058865,-0.725383181556177,-3.15291139636212,-0.088200001421816,0.0502836038330738,0
"194","villanova michigan 2022",8,4,1.75,1,14,32,NA,1.85607763695162,2.28540398082269,-5.01412753273126,1.10040581954604,1.29651286198463,-0.0404457509153427,0.182869832012419,-2
"195","villanova houston 2022",6,8,1.875,1,11.25,48,NA,-1.27726957875527,-0.256878268512747,-4.97267848438368,0.634672886857309,-5.68280993123418,-0.240570555617873,-0.10974401477631,-1
"196","kansas villanova 2022",16,16,1.9375,1,31,256,NA,-0.359733564570117,-0.0889939070662242,-5.17494894429895,-1.30562594993629,0.657149154472355,0.0462687797177449,-0.0400528305601164,2
"197","duke north-carolina 2022",-4,16,1.9375,0,-7.75,-64,NA,1.32491109637586,1.00758652432357,-5.15289680803087,0.642234844723864,2.18086672386193,0.0560303857390655,0.206230342522043,2
"198","kansas north-carolina 2022",3,32,1.96875,1,5.90625,96,NA,0.60259618137552,1.57423373438514,-5.16984704776225,-0.605007185154348,0.388585661358395,0.0668593948624999,-0.03157769021146,3
"199","gonzaga norfolk-state 2021",43,1,1,1,43,43,NA,3.6894879238769,9.74607267187867,-4.80433013678706,0.444451064156607,0.344075232445304,0.0508868783748003,0.714377420015537,-3
"200","oklahoma missouri 2021",4,1,1,1,4,4,NA,1.1628531460336,1.16049024388354,-4.88305556950529,1.64131291098635,1.7370239658897,-0.0241032364144768,0.23563896494916,-1
"201","creighton california-santa-barbara 2021",1,1,1,1,1,1,NA,-1.34498665571527,3.05996462147214,-5.29349404405322,-0.17810426149322,0.0490931811188364,-0.106946964869926,-0.100888054739113,-1
"202","virginia ohio 2021",-4,1,1,0,-4,-4,NA,-0.0155255052140237,3.02748303145826,-5.37242250211777,0.183387207776378,2.1965711944195,-0.156160981996801,-0.0640267427103613,0
"203","southern-california wichita-state 2021",16,1,1,1,16,16,NA,0.729859347482081,1.6662761933027,-4.69456633533513,-1.00349249685993,0.546592423538442,0.129465683191549,0.0672551021672188,2
"204","kansas eastern-washington 2021",9,1,1,1,9,9,NA,-0.425211449854522,3.84438307954184,-5.35515233195854,-0.420031596708141,3.82177066636283,0.0643262527954239,-0.109468475596077,-1
"205","oregon virginia-commonwealth 2021",5,1,1,1,5,5,NA,-0.169384130527749,-0.192756890342959,-5.01213332835235,1.96402384367953,-4.50963380473556,0.0487444735474103,0.132479707728506,-2
"206","iowa grand-canyon 2021",12,1,1,1,12,12,NA,-0.64066075354849,5.38170942562986,-5.23502874757646,1.97421818901441,1.68220553348742,-0.0241628084382379,0.282660858841899,1
"207","michigan texas-southern 2021",16,1,1,1,16,16,NA,1.39948343835125,9.34312904781327,-4.82250865914807,1.26151675247535,-2.17633053112012,-0.085147064811381,0.322498167325399,-2
"208","louisiana-state st-bonaventure 2021",15,1,1,1,15,15,NA,-1.13870983082096,-0.540623454566162,-4.89391349882991,-0.263733517144558,-0.886580841221953,0.0164238078393452,0.0771494224161312,2
"209","colorado georgetown 2021",23,1,1,1,23,23,NA,2.37932172970649,1.57301209014498,-4.84039445334562,2.07022558469649,-1.07614079961648,0.0404918949003584,0.267384928084926,3
"210","florida-state north-carolina-greensboro 2021",10,1,1,1,10,10,NA,0.214377662184384,3.93284420920326,-4.54701279395435,-2.30343230103683,0.552005119240276,0.0915741847478847,0.113166822768016,0
"211","brigham-young michigan-state 2021",-11,1,1,0,-11,-11,NA,2.676425959728,1.09789864881294,-4.62559219467166,-0.107053467644098,-2.02393551227374,0.00988152817268038,0.282840934532058,0
"212","texas abilene-christian 2021",-1,1,1,0,-1,-1,NA,-2.08852896780952,3.4841149018025,-5.01067215450169,-0.517881828821624,-2.63500320061361,-0.0164605582432655,-0.0463890005616062,-3
"213","connecticut maryland 2021",-8,1,1,0,-8,-8,NA,0.550341753095855,-0.125707391968396,-5.15891713478659,0.267531656675371,2.70419764522308,0.225725869729641,0.0612910936850536,2
"214","alabama iona 2021",13,1,1,1,13,13,NA,0.413644929829498,5.90308426341294,-5.05246966501385,1.27086555220942,-0.0388127212782781,-0.0538851126671442,0.0568971193634304,2
"215","baylor hartford 2021",24,1,1,1,24,24,NA,3.53684256949781,8.28512252374781,-4.82905962068749,1.07016002979057,3.20052436066506,0.23330992640879,0.645315342004084,0
"216","north-carolina wisconsin 2021",-23,1,1,0,-23,-23,NA,0.0905096186920451,-0.819178175394794,-4.82739905374436,-2.60825232156262,1.70661836433548,0.368678619348983,0.0457763598795228,1
"217","villanova winthrop 2021",10,1,1,1,10,10,NA,-0.805230123212643,4.2107333744996,-5.03667763338362,2.99782718713471,-2.39337128515844,-0.131097400159035,0.06170840746179,-5
"218","purdue north-texas 2021",-9,1,1,0,-9,-9,NA,-0.760624122556346,2.85878011186831,-5.20459685868324,1.17020288385037,0.196415298346086,0.12983421965465,0.0354073516642316,2
