Game ID,Year,Region,Round,Game Location,Better Seed,Team - Better Seed,Spread,Over/Under Total,Worse Seed,Team - Worse Seed,Better Seed - Score,Worse Seed - Score,Game Winner - Team,Game Winner - Seed,Better Seed vs. Spread,Better Seed vs. Spread (Points),O/U,O/U Margin,Margin of Victory,Total Points Scored,Better Seed Conference,Worse Seed - Conference,Better Seed Ken Pom,Worse Seed Ken Pom,Better Seed and Worse Ken Pom?,Ken Pom Ranking Margin,KP EM Diff,Better Seed KP Expected Margin,Worse Seed KP Expected Marg.,Better Seed Adj Off. Eff Rank,Worse Seed Adjusted Off Eff. Rank,Better Seed Adj. Def Eff. Rank,Worse Seed Adjusted Def. Rank,Futures Better to F4,Futures Worse to F4,
465,2015,South,1) Round of 64,Seattle,2,Gonzaga,-17,130,15,North-Dakota-State,86,76,Gonzaga,Better Seed,Loss,7,OVER,32,10,162,West Coast,Summit,7,158,No,151,28.3,28.87,0.57,5,191,15,142,,,
466,2015,South,2) Second Round,Charlotte,1,Duke,-9,130.5,8,San-Diego-State,68,49,Duke,Better Seed,Win,-10,UNDER,-13.5,19,117,ACC,Mountain West,6,33,No,27,13.09,29.29,16.2,3,159,37,5,,,
467,2015,South,2) Second Round,Portland,4,Georgetown,4.5,125.5,5,Utah,64,75,Utah,Worse Seed,Loss,6.5,OVER,13.5,11,139,Big East,Pac-12,22,8,Yes,-14,-7.4,19.53,26.93,37,14,19,7,,,
468,2015,South,2) Second Round,Louisville,11,UCLA,-5.5,135,14,UAB,92,75,UCLA,Better Seed,Win,-11.5,OVER,32,17,167,Pac-12,C-USA,42,138,No,96,11.34,14.17,2.83,46,154,69,136,,,
469,2015,South,2) Second Round,Seattle,2,Gonzaga,-6,138,7,Iowa,87,68,Gonzaga,Better Seed,Win,-13,OVER,17,19,155,West Coast,Big Ten,7,25,No,18,10.63,28.87,18.24,5,33,15,39,,,
470,2015,South,3) Sweet 16,Houston,1,Duke,-4.5,133,5,Utah,63,57,Duke,Better Seed,Win,-1.5,UNDER,-13,6,120,ACC,Pac-12,6,8,No,2,2.36,29.29,26.93,3,14,37,7,,,
471,2015,South,3) Sweet 16,Houston,2,Gonzaga,-8.5,144.5,11,UCLA,74,62,Gonzaga,Better Seed,Win,-3.5,UNDER,-8.5,12,136,West Coast,Pac-12,7,42,No,35,14.7,28.87,14.17,5,46,15,69,,,
472,2015,South,4) Elite 8,Houston,1,Duke,-1.5,145,2,Gonzaga,66,52,Duke,Better Seed,Win,-12.5,UNDER,-27,14,118,ACC,West Coast,6,7,No,1,0.42,29.29,28.87,3,5,37,15,,,
473,2014,South,1) Round of 64,Orlando_,1,Florida,-22,120.5,16,Albany,67,55,Florida,Better Seed,Loss,10,OVER,1.5,12,122,SEC,America East,3,186,No,183,29.668,27.975,-1.693,17,219,6,156,,,
474,2014,South,1) Round of 64,Orlando_,8,Colorado,6,126,9,Pittsburgh,48,77,Pittsburgh,Worse Seed,Loss,23,UNDER,-1,29,125,Pac-12,ACC,60,17,Yes,-43,-8.992,12.501,21.493,118,18,34,30,,,
475,2014,South,1) Round of 64,San Diego_,5,VCU,-6.5,134,12,stephen-f-austin,75,77,stephen-f-austin,Worse Seed,Loss,8.5,OVER,18,2,152,Atlantic 10,Southland,22,70,No,48,9.902,20.71,10.807,101,56,4,98,,,
476,2014,South,1) Round of 64,San Diego_,4,UCLA,-8.5,146.5,13,Tulsa,76,59,UCLA,Better Seed,Win,-8.5,UNDER,-11.5,17,135,Pac-12,C-USA,13,79,No,66,12.951,22.291,9.34,10,153,41,46,,,
477,2014,South,1) Round of 64,Buffalo_,6,Ohio-State,-6.5,130,11,Dayton,59,60,Dayton,Worse Seed,Loss,7.5,UNDER,-11,1,119,Big Ten,Atlantic 10,15,55,No,40,8.756,21.695,12.939,95,34,3,99,,,
478,2014,South,1) Round of 64,Buffalo_,3,Syracuse,-13,127.5,14,Western-Michigan,77,53,Syracuse,Better Seed,Win,-11,OVER,2.5,24,130,ACC,MAC,16,125,No,109,17.094,21.493,4.399,27,138,17,122,,,
479,2014,South,1) Round of 64,St. Louis_,7,New-Mexico,-4.5,135.5,10,Stanford,53,58,Stanford,Worse Seed,Loss,9.5,UNDER,-24.5,5,111,Mountain West,Pac-12,31,34,No,3,1.561,17.572,16.012,32,38,43,56,,,
