"","teams","finalFourTeam","seed","ws.40","aBPM","TS","TOV","StlBlk","OR","PER","depth"
"442","gonzaga 2016",0,11,6.92815469986746,6.07107099474212,5.88982005141388,-7.18048790748305,7.49329616923957,0.550995910892438,1.82649070795378,8
"443","utah 2016",0,3,5.44840309603632,5.33542121686376,5.86527099236641,-8.0843723419546,8.74807282036695,0.512870188559523,1.73974352848319,9
"444","fresno-state 2016",0,14,5.08238451018118,2.06436013306184,5.26866071428571,-6.45325448824633,12.0448625180897,0.594118334591837,1.65929053373763,10
"445","dayton 2016",0,7,5.36560358259076,4.18754042684083,5.50417805200529,-8.1189063816477,10.1490743646062,0.49724198210174,1.56220486753123,10
"446","syracuse 2016",1,10,5.18927748440775,5.66512843061502,5.40700831024931,-7.66107115365521,12.3145569620253,0.578237446158181,1.68197403639686,7
"447","michigan-state 2016",0,2,7.43736376928701,8.25515993228355,5.8878,-7.28901530519142,9.18814869888476,0.643956061134219,1.92734068775223,12
"448","middle-tennessee 2016",0,15,4.9982311845472,1.68134400817481,5.42293322408849,-7.24143714500227,9.24314306893996,0.468283627158167,1.55878517843602,10
"449","kentucky 2015",1,1,8.90530896147251,10.7963849025588,5.65489098837209,-6.71535585534339,13.3025343758425,0.716740538779094,2.05717916111396,9
"450","hampton 2015",0,16,3.77610873963816,-2.52262180694832,5.04008637236084,-8.30340858925616,9.72089925062448,0.522313681172809,1.37583915411407,8
"451","cincinnati 2015",0,8,5.79505408586829,4.62435412923611,5.36030677882236,-8.48424025871877,12.8071094339623,0.673631621336968,1.67204188092435,9
"452","purdue 2015",0,9,5.06588160973051,4.86584405714002,5.41880726015557,-8.15019522783288,10.3638704930096,0.61797279114731,1.60716046127,10
"453","west-virginia 2015",0,5,5.2855238605698,5.56970715974422,5.0340025199496,-7.57951888556195,12.5862795633717,0.679542163736606,1.6085794835607,10
"454","buffalo 2015",0,12,5.3703659705088,3.08280670456954,5.34271635610766,-7.12158709885342,11.2058400856138,0.586110161341563,1.71975463492881,8
"455","maryland 2015",0,4,5.38844997651928,4.98889302719764,5.66522469550609,-8.29224288123133,9.175,0.509385849376537,1.60923987919922,10
"456","valparaiso 2015",0,13,6.2612796270738,2.69698988079229,5.51408351648352,-8.31218360457286,11.2855590765052,0.587752882490862,1.70795165196841,9
"457","butler 2015",0,6,5.78610855162125,6.37931932195457,5.25464333185645,-7.27505619185276,9.26498954911914,0.565533470814503,1.60891068111682,8
"458","texas 2015",0,11,5.7157765998606,6.13898661700141,5.37739981785064,-8.31176407002392,11.5705267938238,0.640918036587734,1.68935141236361,9
"459","notre-dame 2015",0,3,7.08455591413941,7.56934736304699,6.15312002892263,-6.22209730305046,10.0744389555399,0.463903274223089,2.15789756265757,7
"460","northeastern 2015",0,14,4.85234878349907,1.43337708262092,5.85293739279588,-9.41523549948156,8.78546325878594,0.513811580963307,1.66526353382215,8
